Date,SP500,AAPL,AIG,AMZN,AVGO,BAC,BRK-B,C,CSCO,CVX,GE,GOOGL,IBM,INTC,JNJ,JPM,KO,LLY,META,MO,MRK,MSFT,NVDA,PFE,PG,T,TSLA,TWX,UNH,V,WFC,WMT,XOM,HD,MA,ORCL,VZ
2012-12-05,131.2405357566,5187.6559216183,2.4863368738,1415.2884546172,219.4584662609,56.5585104415,189.6448424701,8.5029994166,51.6481237308,395.3264076239,66.6811205486,637.3583202292,191.8751191733,66.3582446667,200.0669846984,105.5235602130,179.0114373526,95.9119880117,81.4281516283,614.2800387017,89.0977497691,117.0676691190,147.0681526778,86.9175473917,259.4665103705,125.6616738205,141.1050648766,50.0116117013,388.2884668964,237.7098035802,174.5247263717,150.8639529600,288.1340475572,165.3727806032,1175.1560630263,107.5317261729,158.9482481099
2012-12-06,131.7085484239,5269.2049753973,2.4480628900,1412.6123133614,223.1436402746,56.5044392081,189.3634702993,8.6335995173,52.3471613244,400.1378348527,67.1208453192,640.4254832110,192.9430697441,67.3945698980,200.2957307152,106.2150981078,179.3472937082,95.5637799066,79.2535997625,612.0664169429,89.3787519082,117.3309397389,147.4370527257,86.8158497936,261.4851231871,124.6981811876,141.9003767225,50.5763465130,386.9182067049,238.3680571218,175.3714200115,150.7376188748,289.0208159699,166.2253507888,1182.2365012273,107.6997970168,160.2097421431
2012-12-07,132.1034027373,5132.4875535089,2.5120982091,1411.6087603918,217.6158792541,57.5317926481,189.0171660907,8.7781924860,51.9976425277,402.1676557139,67.4035255285,634.4486852605,195.2315352516,67.3611400516,201.4394607988,109.0068622011,180.9306165256,96.0087124856,80.8404349078,617.4160028638,89.5593961403,116.1023435111,147.1911193606,86.6463537962,262.7561016259,125.0687552770,143.0305567141,50.8152727795,390.0373516162,238.4964968366,175.8476851840,152.2115165309,290.9914124429,166.5095408504,1170.4603557393,107.3300411593,160.0655713971
2012-12-10,132.1534002995,5100.6189150251,2.4554232715,1381.3906653615,218.8866289140,57.1532940122,188.5193537899,8.6732459764,53.2075152858,402.0548878872,67.1836631434,635.1343954137,195.9129894260,67.1271311283,201.8683595790,108.3665493358,180.5947601697,96.9566123269,81.7807816607,616.4936604646,89.2783940013,118.1207515993,152.1097866739,86.1378658045,262.4944295929,124.9946404594,144.6630389239,50.6415082219,392.3542618165,238.6731014462,174.8951548391,151.9167370000,290.3673902254,162.8667409652,1179.0896398012,107.8006395229,158.6959493044
2012-12-11,133.0192367487,5208.7412141425,2.5952705201,1397.6705246783,219.5855412269,56.8288666102,188.8873020113,8.6289352280,53.1806292245,404.9868513536,67.5605700897,645.7536364230,197.5200007608,69.0326323603,203.2980221813,109.2117623182,181.6503087150,97.8851672730,82.1921833651,608.0081103780,90.7034762800,119.8758890673,155.5528537941,86.9175473922,264.1392252221,126.5510516359,147.6768522343,51.1845224640,396.4812581128,239.0584205926,176.1651952979,149.2637212192,292.2723001481,162.4792090633,1183.8099319332,108.7082220825,160.1736994568
2012-12-12,133.1084482936,5187.2708021301,2.5650929560,1403.6360895598,219.6490787099,57.3695789471,193.3243246903,8.7525388947,53.0461989183,406.2648867104,68.4086107188,646.3096176278,196.2486310348,69.1329218986,202.8977166515,109.5447250085,180.5947601695,94.7899841181,81.0167499236,613.3576963011,90.8439773498,119.5248615733,153.9542869175,86.4768577992,264.5130424099,127.8110035403,147.5931351985,51.3257061670,400.0290268592,237.4208142184,177.2764806991,145.1578634625,293.7830907783,162.5825509047,1188.5302240717,107.9687103675,161.4351934896
2012-12-13,132.3013850093,5099.8486759977,2.5201946287,1400.7926894721,215.0743799343,56.9910803114,193.5840528467,8.6965674230,53.0730849795,405.6258690300,67.9060681243,651.1466541109,195.2722190852,68.4977548212,202.2972583590,109.5703375226,180.4028422515,93.3004272252,82.9856009370,613.5421647813,89.0776782296,118.9544418961,154.0772535996,85.8666722089,262.1579941233,127.1810275875,140.6864796950,50.7066699312,393.7299272526,236.3290766372,176.0064402412,145.3684202707,290.9257258927,161.2391069756,1190.9641247061,106.8531914439,160.4620409500
2012-12-14,131.7592312481,4900.3567758709,2.4981134842,1389.3075832352,198.7905417861,57.2073652460,192.9563764674,8.7688639073,53.3957177152,405.4379226527,67.9060681243,650.3590140691,195.0382870557,68.5980443595,202.1256988460,109.6471750662,180.6907191272,92.4492518575,78.7834263851,611.6974799817,88.2466919251,117.6380887946,154.8150536963,85.2903858179,261.4103597470,126.0322479097,141.5236500594,50.7935522099,391.3406136091,235.7189879881,175.4243383638,144.7578055273,289.2835621648,160.3348658692,1185.7275506197,108.0363175752,159.3447176645
2012-12-17,133.3255647793,4998.5622479384,2.5724533375,1416.0689958113,204.3462042131,59.4783570608,194.7528295517,9.1303463291,54.0678692475,408.5202432228,68.8797444015,668.0948144983,196.9300852092,68.7317637443,202.8405301467,111.3632135457,179.9230474589,93.5132210675,78.7246547132,608.5615158231,88.4291035530,118.8666850222,154.0772535998,85.9344706078,261.4103597470,126.8475109070,143.9933026331,52.0642055365,393.5851203673,239.4276847756,181.9332957151,145.7053111642,291.8781808528,163.5642983916,1202.9861187364,109.2870509134,159.0203334848
2012-12-18,134.8593457115,5141.3453019029,2.6129354358,1451.5278674737,206.0703753112,61.3708502402,195.5969460611,9.2049749581,54.8206789633,413.8579203070,68.1259305092,668.1689453235,199.0354734761,70.0689575916,202.8691233998,112.3621016152,178.8674989132,95.7959186444,81.4869232998,601.1827766189,89.6654490299,120.9728499835,154.4461536482,86.9175473919,261.5598866217,127.2551424055,144.7886144785,52.2814112334,397.8569235498,241.9804241214,185.0025601562,146.3369815889,294.1443667957,162.7633991262,1211.7383270724,111.0786419117,158.1192663188
2012-12-19,133.8407595915,5065.2842009979,2.5680371086,1438.3701729555,204.2823460243,60.5057105011,195.0125577089,9.2003106688,54.4442741052,413.0685455264,65.9901244811,666.9735857350,198.4150450502,70.5035455922,201.9541393345,111.4912761183,176.4685249466,94.6352249613,80.5465765469,597.4934070141,88.4493715115,119.8320106296,155.5528537944,85.9344706077,259.2048383349,125.6616738197,144.8723315145,51.7383969912,394.5263651352,239.4758496683,183.2033361726,144.2735248708,290.2688603991,159.5856375248,1203.1582127258,115.2364851721,156.3531746731
2012-12-20,134.6039076774,5025.6168926580,2.6151435502,1457.9394559076,203.7076223250,62.2900612128,196.2895544799,9.3682250840,54.4173880440,414.9104200132,66.7125295116,669.3643049178,198.0997453589,70.3029665153,202.2972583590,114.0525275796,177.7639708890,95.2736064872,80.4878048747,602.4740559742,85.4497136328,121.4555127875,155.4298871122,86.2056642033,260.9991608393,126.6992812705,144.1188781875,52.4117346515,401.5494991834,244.7739879364,185.5317436799,145.2841975493,291.9438674006,160.1023467282,1225.6287700859,114.7294311155,157.9030101991
2012-12-21,133.3508397900,5000.1027258815,2.5569965363,1432.4046080817,200.2592801289,61.0464228377,194.4281693558,9.2096392474,53.6645783282,412.3919385712,66.1737584895,663.1280490741,196.7266660531,69.4003606686,200.9247822592,112.6950643050,176.9962992196,95.8539533289,77.1672054040,595.6487222115,84.1525642802,120.6218224901,151.8638533105,85.0191922222,256.8871717691,124.7722960035,142.3189619040,51.6623749974,398.4361511000,242.0606989454,182.4624792388,144.5472487209,286.4918838254,158.4230418173,1213.4346820647,114.1209662485,157.0379857202
2012-12-24,133.0423178588,5006.1683579984,2.5908542913,1441.8826083677,198.9182581637,60.8301379030,194.4281693558,9.1839856562,53.3150595316,408.3322968447,65.9836040110,657.4477744310,195.6892283554,68.9992025145,200.2099509578,112.4901641878,176.2286275502,94.8673636986,79.1360564177,592.0954017326,83.9498846939,118.7350497114,150.6341864824,85.0191922222,256.1395373938,125.0316978664,143.4910004141,51.5320515791,397.1328891128,242.7189524875,182.1449691243,144.3788032746,285.4737423134,159.0689283226,1216.9994860229,113.6139121925,156.9298576596
2012-12-26,132.4066444330,4940.1203640616,2.6018948635,1386.8544537616,197.0663706881,62.3982036802,193.1944606103,9.2236321154,53.5839201446,407.6932791645,65.8251419459,656.8639941662,195.2315352536,69.0326323604,200.6388497382,112.5926142460,174.7412636911,94.9060534878,77.8724654684,585.7368282453,83.7674730662,117.9013594142,150.5112197996,85.5276802136,254.1956880154,125.1799275029,140.6027626572,51.5646324337,392.5714721533,240.4391475368,181.6687039525,143.1575737883,285.9663914303,157.9580035350,1195.3156440240,113.5125013814,156.6054734794
2012-12-27,132.2700170105,4958.9912194541,2.5739254138,1384.4013242770,200.3231383177,62.0197050440,193.1078845583,9.1536677757,52.8311104287,407.9188148175,65.5716026410,654.4732749880,196.0045280479,68.5646145137,200.4101037211,111.7474012633,174.7412636911,94.7319494355,76.5501028469,587.2329631855,83.5039896041,118.2962653439,149.5274863373,85.2225874182,254.0835428591,124.7352385950,141.0213478391,51.4994707249,394.1643479156,239.8611688177,180.8749286654,143.5786874044,285.2766826656,157.7771553143,1199.4213147838,112.4645896649,156.7136015391
2012-12-28,130.8216335294,4904.5930903001,2.5452199259,1366.9506531574,198.9182581637,61.4249214732,191.6577356834,9.0976963039,52.2933892029,400.1378348432,64.7792923142,648.6540050447,193.0752921979,67.6620086670,198.6659153450,110.7485131928,172.5821871224,94.0161883313,76.1387011426,581.4354403035,82.3689839202,116.4972494396,148.7896862397,84.3751074323,251.0182419146,123.4752866902,139.0539974832,50.9673167674,389.9649481778,238.6570464846,179.4461331491,142.3574579176,279.4962663451,156.6920659862,1187.6451693008,111.6194995708,154.6231257138
2012-12-31,133.0387268737,5132.0061540329,2.5982146728,1400.1794071043,202.1750257934,62.7226310816,194.1467971863,9.2259642600,52.8311104286,406.4904223570,66.5223750328,657.3273118339,194.8246969429,68.9657726678,200.4386969724,112.6182267598,173.9256125426,95.4090207506,78.2544813365,587.6069969237,82.9770226791,117.2870613006,151.1260532138,85.0191922221,253.7844891066,124.9205256397,141.7748011668,51.9447424032,392.7162790414,243.3611510666,180.8749286647,143.6629101276,284.2585411540,159.7923212077,1207.8047503034,112.6336076837,155.9567051190
2013-01-02,136.4442875576,5286.0539533407,2.6850671746,1434.6904787341,207.7945464092,65.0476941305,201.7222017583,9.6200967069,54.6862486576,414.9480092828,67.6316094905,670.1890103677,199.7067566936,71.4730111310,202.5545976243,115.1538657071,180.4028422510,95.7765737504,82.2803408720,608.5528860589,83.7877410247,121.3677559142,156.4136205768,87.8328257762,259.3917469312,129.7009313973,148.0117203801,54.0407773779,394.8883823542,249.4620375553,185.4788253280,145.7895338894,291.3526884538,164.0035012173,1254.4913897086,117.3999158119,159.5609737830
2013-01-03,136.1592398325,5222.6055159817,2.6629860301,1441.1020671703,208.8801356191,64.7232667285,202.7394703713,9.6574110215,54.9819953317,413.1813133477,66.8709915770,670.6245289765,198.6082932498,71.2724320536,202.2686651029,114.9218046256,180.4028422510,96.1828165394,81.5897737257,608.9269197935,85.8550728063,119.7003753197,156.5365872593,87.6294305796,257.7469513032,129.8121036246,145.5420678061,54.0624979475,376.4255041903,249.6546971293,184.2087848698,144.8630839341,290.8271960626,163.6159693146,1256.2860841088,116.0477716617,158.8040773640
2013-01-04,136.8217765894,5074.1419493767,2.6718184879,1444.8375143474,207.5391136540,65.4802640000,203.1290626066,9.8952897764,55.1164256385,415.3614913094,67.1879157075,683.8290825828,197.3064106503,70.7375545148,204.5847185203,116.9587852325,180.6907191268,99.7422771679,84.5136644100,608.7399029245,84.9835505847,117.5064534844,161.8241546215,88.0023217736,258.2702953661,130.5532518040,143.9933026328,53.6280865540,377.1495386293,251.6936776134,184.8967234507,145.4105316354,292.1737703199,163.2284374124,1256.2369144031,117.1970941888,159.6691018440
2013-01-07,136.3952514870,5046.6059052670,2.6445850763,1497.0222688647,206.3896662553,65.3721215328,202.2633020851,9.9046183550,54.6055904742,412.5422956656,66.9660688162,680.8453167864,196.4418792357,71.0384231305,204.1558197390,117.0877080559,178.9634578713,99.6068629051,86.5119012597,607.0567511183,85.3686417986,117.2431828640,157.0284539904,88.1040193723,256.5133545809,131.1461703479,143.7421515230,53.3457191482,377.1495386293,253.4918336306,183.9971114584,144.0208567019,288.7909130422,162.3758672265,1277.9945109666,116.3858076985,161.0747666235
2013-01-08,135.9991116434,5056.7152921055,2.6239760081,1485.1468920346,204.9847861013,64.7773379624,203.0424865558,9.9022862104,54.6862486578,410.7004211805,66.2371433159,679.5016955424,196.1672633754,70.5035455920,204.1844129906,117.3197691373,177.7159914095,100.3613137992,85.3952394904,601.0722113676,85.4902495501,116.4972494400,153.7083535536,88.2057169705,256.1021556728,128.9597834645,140.9794893208,54.4643284868,372.1537010099,255.8519134045,183.6796013436,144.4209146375,290.5972931423,163.3317792536,1273.7880731992,116.5886293211,157.2001778096
2013-01-09,136.3627626333,4978.6323138353,2.6320724277,1484.9796332025,209.5187175073,61.8034201094,201.9819299156,9.8043361349,54.5787044125,411.7529208869,66.3956053814,683.5974237518,195.6078606958,71.6735902082,205.0993970561,117.2424154433,177.6680119305,102.4699073235,89.8912724026,596.5838065530,86.3212358542,117.1554259901,150.1423197512,89.7311809456,257.4852792681,128.5468118139,140.8120552474,53.8995936749,379.1768350560,259.7532697659,183.6796013436,144.3788032767,289.4806218082,163.2026019525,1309.6288909097,116.4872185096,156.8354442192
2013-01-10,137.3988574620,5041.9844713077,2.6350165803,1479.3485859785,214.0526489133,63.6959132883,204.8605836541,9.9885755627,54.9551092703,415.2487234846,67.0928384691,687.0815726353,196.1774343327,72.8770646709,206.4146866502,118.9957658393,177.3321555749,103.0115643757,91.9776667603,611.5451559361,86.7063270681,116.1023435098,150.3882531172,90.7142577299,258.9431663034,129.0348692184,140.3516115465,54.0950788023,384.5346898956,257.6982343177,187.3309676630,143.9366339803,292.6335761630,164.3651976611,1297.9689406036,118.0421842814,158.9873724069
2013-01-11,137.4075321346,5009.4418737084,2.5930624057,1493.8443511305,219.2890203962,62.8848447829,204.2978393151,9.8743004746,55.0626535153,419.9849721628,66.9660688165,685.7008859803,197.7742747103,73.5456615948,206.8721786834,118.9699812751,177.0922581788,102.7407358497,93.2118718733,615.8465438807,87.6183852069,117.7258456682,150.1423197509,89.9006769427,258.7562577105,128.6594404457,137.7563834175,53.8778731055,382.4349900260,258.7418070078,185.7434170898,144.5051373613,294.3085831635,164.5718813433,1300.5026428860,117.8393626588,157.9296449927
2013-01-14,137.2791278556,4830.8427063789,2.5798137190,1520.5500107594,220.7577587390,62.0197050436,206.3973085819,9.8463147387,56.3531844571,424.1949709893,66.9343764032,670.1890103744,195.9129894304,73.5456615948,207.4726369758,118.2995825944,177.4760940134,102.1410441130,90.9491624995,616.9686450868,87.8413327518,118.0329947246,150.0193530679,90.6464593303,260.2889081823,127.7208685140,139.2214315547,53.5412042755,386.3447759910,257.9230038216,183.9971114594,143.8102998950,294.2100533411,164.0035012190,1287.7849333718,118.1773986966,155.3400364947
2013-01-15,137.4348469949,4678.4316649512,2.5643569178,1515.9225165020,216.2876855219,62.4522749130,206.3973085819,9.9279398017,56.4069565795,426.4127382285,67.1879157079,671.7457577443,195.7909379360,73.1445034409,206.9293651870,119.5114571324,179.0594168312,103.0889439542,88.4513664373,613.0412908761,86.8887386959,119.3932262625,147.3140860447,90.2396689367,261.2234511519,126.7447537044,141.9003767195,53.3565794333,388.2272655299,257.6019045330,185.7963354421,145.2420861890,294.0458369695,165.2177678471,1286.0384007343,117.2985049990,153.0786882296
2013-01-16,137.4782416066,4872.6281719416,2.6158795884,1499.3638924786,220.6939005502,63.6959132877,205.6830561507,9.9069504999,56.5413868861,428.4049698146,66.9343764031,662.7203295206,195.8824765568,73.9133899032,207.5298234802,120.7233316702,179.0594168312,102.3925277448,87.7167205367,613.0412908761,86.2198960610,118.6472928386,148.6667195560,90.2057697373,261.3056909320,124.8676098404,142.7375470830,53.4000205729,388.5168793042,257.2005304228,185.6904987372,145.7263668479,293.8487773236,164.9852487057,1282.3239439949,117.0956833763,151.4009137106
2013-01-17,138.2550736832,4839.7967347065,2.5915903294,1508.0055986210,222.2903552706,60.9923516033,206.2674445035,9.6177645624,56.3262983956,431.2993440062,67.5048398381,659.1342507541,196.9605980862,75.8188911355,208.4448075464,119.7435182140,179.9710269391,103.1663235331,88.5689097814,616.9686450870,86.6455231921,119.4809831361,150.6341864814,90.9515521249,262.5492859413,124.6423525768,143.9095855935,53.6498071241,393.8747341454,256.6867715608,185.3729886220,144.9683623387,296.2463363637,168.0596684676,1287.3913485596,117.0280761683,153.6622619758
2013-01-18,138.7280797322,4813.9937283211,2.5827578716,1517.1490812462,219.9276022844,60.2353543315,205.9644283208,9.7157146380,56.5145008245,433.1788077682,69.8500784055,653.2315836289,197.7946166263,71.0384231321,209.3883848642,119.7950873431,180.8826370470,104.0174989010,87.1877754878,622.2051173700,87.1116862409,119.5687400089,149.6504530194,89.9684753412,263.5667727679,125.5433816313,144.4956048481,54.2254022208,395.0331892456,254.1019222849,184.8438050984,145.7053111672,298.2169328360,169.1447577955,1281.6105715052,118.6844527519,155.1576697001
