Date,Top 10 tickers,Top 10 stock indices
2001-06-15,"GE, MSFT, XOM, PFE, C, WMT, TWX, IBM, AIG, INTC","9, 20, 31, 22, 6, 30, 26, 11, 1, 12"
2001-06-18,"GE, MSFT, XOM, PFE, C, TWX, WMT, IBM, AIG, INTC","9, 20, 31, 22, 6, 26, 30, 11, 1, 12"
2001-06-19,"GE, MSFT, XOM, PFE, C, WMT, TWX, IBM, AIG, INTC","9, 20, 31, 22, 6, 30, 26, 11, 1, 12"
2001-06-20,"GE, MSFT, XOM, PFE, C, WMT, TWX, IBM, AIG, INTC","9, 20, 31, 22, 6, 30, 26, 11, 1, 12"
2001-06-21,"GE, MSFT, XOM, PFE, C, TWX, WMT, IBM, AIG, INTC","9, 20, 31, 22, 6, 26, 30, 11, 1, 12"
2001-06-22,"GE, MSFT, XOM, PFE, C, TWX, WMT, AIG, IBM, INTC","9, 20, 31, 22, 6, 26, 30, 1, 11, 12"
2001-06-25,"GE, MSFT, XOM, PFE, C, TWX, WMT, AIG, IBM, INTC","9, 20, 31, 22, 6, 26, 30, 1, 11, 12"
2001-06-26,"GE, MSFT, XOM, PFE, C, TWX, WMT, AIG, IBM, INTC","9, 20, 31, 22, 6, 26, 30, 1, 11, 12"
2001-06-27,"GE, MSFT, XOM, PFE, C, TWX, WMT, AIG, IBM, INTC","9, 20, 31, 22, 6, 26, 30, 1, 11, 12"
2001-06-28,"GE, MSFT, XOM, PFE, C, TWX, WMT, AIG, IBM, INTC","9, 20, 31, 22, 6, 26, 30, 1, 11, 12"
2001-06-29,"GE, MSFT, XOM, PFE, C, TWX, WMT, AIG, IBM, INTC","9, 20, 31, 22, 6, 26, 30, 1, 11, 12"
2001-07-02,"GE, MSFT, XOM, C, PFE, TWX, WMT, AIG, INTC, IBM","9, 20, 31, 6, 22, 26, 30, 1, 12, 11"
2001-07-03,"GE, MSFT, XOM, C, PFE, TWX, WMT, INTC, AIG, IBM","9, 20, 31, 6, 22, 26, 30, 12, 1, 11"
2001-07-05,"GE, MSFT, XOM, C, PFE, TWX, WMT, INTC, AIG, IBM","9, 20, 31, 6, 22, 26, 30, 12, 1, 11"
2001-07-06,"GE, MSFT, XOM, C, PFE, TWX, WMT, INTC, AIG, IBM","9, 20, 31, 6, 22, 26, 30, 12, 1, 11"
2001-07-09,"GE, MSFT, XOM, C, PFE, TWX, WMT, AIG, INTC, IBM","9, 20, 31, 6, 22, 26, 30, 1, 12, 11"
2001-07-10,"GE, MSFT, XOM, PFE, C, TWX, WMT, AIG, INTC, IBM","9, 20, 31, 22, 6, 26, 30, 1, 12, 11"
2001-07-11,"GE, MSFT, XOM, PFE, C, TWX, WMT, AIG, INTC, IBM","9, 20, 31, 22, 6, 26, 30, 1, 12, 11"
2001-07-12,"GE, MSFT, XOM, PFE, C, WMT, TWX, AIG, INTC, IBM","9, 20, 31, 22, 6, 30, 26, 1, 12, 11"
2001-07-13,"GE, MSFT, XOM, C, PFE, WMT, TWX, INTC, AIG, IBM","9, 20, 31, 6, 22, 30, 26, 12, 1, 11"
2001-07-16,"GE, MSFT, XOM, C, PFE, WMT, TWX, INTC, AIG, IBM","9, 20, 31, 6, 22, 30, 26, 12, 1, 11"
